"Id","DateAware","DateSubmitted","DataBreachCause","DateStart","DateEnd","Name","CyberattackType","WashingtoniansAffected","IndustryType","BusinessType","InformationType","Year","WashingtoniansAffectedRange","BreachLifecycleRange","EntityState"
"9,707","2017 Feb 06 12:00:00 AM","2017 May 24 12:00:00 AM","Cyberattack","2016-02-26T00:00:00","2016-12-05T00:00:00","Incipio, LLC","Unclear/unknown","1650","Business","Accessories","Other","2017","1,000-9,999","300-399",
"9,708","2017 May 26 12:00:00 AM","2017 May 26 12:00:00 AM","Unauthorized Access","2013-10-23T00:00:00","2017-03-31T00:00:00","Kennewick Public Hospital District, dba Trios Health",,"942","Health",,"Name","2017","500-999","500+",
"9,708","2017 May 26 12:00:00 AM","2017 May 26 12:00:00 AM","Unauthorized Access","2013-10-23T00:00:00","2017-03-31T00:00:00","Kennewick Public Hospital District, dba Trios Health",,"942","Health",,"Medical Information","2017","500-999","500+",
"9,710","2017 Apr 18 12:00:00 AM","2017 Jun 05 12:00:00 AM","Unauthorized Access","2016-08-10T00:00:00","2017-02-09T00:00:00","GameStop, Inc.",,"27956","Business","Retail","Name","2017","10,000-49,999","200-299",
"9,710","2017 Apr 18 12:00:00 AM","2017 Jun 05 12:00:00 AM","Unauthorized Access","2016-08-10T00:00:00","2017-02-09T00:00:00","GameStop, Inc.",,"27956","Business","Retail","Financial & Banking Information","2017","10,000-49,999","200-299",
"9,710","2017 Apr 18 12:00:00 AM","2017 Jun 05 12:00:00 AM","Unauthorized Access","2016-08-10T00:00:00","2017-02-09T00:00:00","GameStop, Inc.",,"27956","Business","Retail","Other","2017","10,000-49,999","200-299",
"9,712","2017 Apr 26 12:00:00 AM","2017 Jun 08 12:00:00 AM","Theft or Mistake",,,"Washington State University",,"769088","Education",,"Name","2017","50,000-999,999","Unknown",
"9,712","2017 Apr 26 12:00:00 AM","2017 Jun 08 12:00:00 AM","Theft or Mistake",,,"Washington State University",,"769088","Education",,"Social Security Number","2017","50,000-999,999","Unknown",
"9,712","2017 Apr 26 12:00:00 AM","2017 Jun 08 12:00:00 AM","Theft or Mistake",,,"Washington State University",,"769088","Education",,"Medical Information","2017","50,000-999,999","Unknown",
"9,712","2017 Apr 26 12:00:00 AM","2017 Jun 08 12:00:00 AM","Theft or Mistake",,,"Washington State University",,"769088","Education",,"Other","2017","50,000-999,999","Unknown",
"9,714","2017 May 17 12:00:00 AM","2017 Jun 20 12:00:00 AM","Cyberattack","2016-11-01T00:00:00","2017-03-30T00:00:00","Home Point Financial Corporation","Phishing","815","Finance",,"Name","2017","500-999","100-199",
"9,714","2017 May 17 12:00:00 AM","2017 Jun 20 12:00:00 AM","Cyberattack","2016-11-01T00:00:00","2017-03-30T00:00:00","Home Point Financial Corporation","Phishing","815","Finance",,"Social Security Number","2017","500-999","100-199",
"9,714","2017 May 17 12:00:00 AM","2017 Jun 20 12:00:00 AM","Cyberattack","2016-11-01T00:00:00","2017-03-30T00:00:00","Home Point Financial Corporation","Phishing","815","Finance",,"Driver's License or Washington ID Card Number","2017","500-999","100-199",
"9,714","2017 May 17 12:00:00 AM","2017 Jun 20 12:00:00 AM","Cyberattack","2016-11-01T00:00:00","2017-03-30T00:00:00","Home Point Financial Corporation","Phishing","815","Finance",,"Financial & Banking Information","2017","500-999","100-199",
"9,714","2017 May 17 12:00:00 AM","2017 Jun 20 12:00:00 AM","Cyberattack","2016-11-01T00:00:00","2017-03-30T00:00:00","Home Point Financial Corporation","Phishing","815","Finance",,"Full Date of Birth","2017","500-999","100-199",
"9,714","2017 May 17 12:00:00 AM","2017 Jun 20 12:00:00 AM","Cyberattack","2016-11-01T00:00:00","2017-03-30T00:00:00","Home Point Financial Corporation","Phishing","815","Finance",,"Other","2017","500-999","100-199",
"9,716","2017 Mar 14 12:00:00 AM","2017 Jun 22 12:00:00 AM","Unauthorized Access",,,"Caliber Home Loans",,"20437","Finance",,"Name","2017","10,000-49,999","Unknown",
"9,716","2017 Mar 14 12:00:00 AM","2017 Jun 22 12:00:00 AM","Unauthorized Access",,,"Caliber Home Loans",,"20437","Finance",,"Social Security Number","2017","10,000-49,999","Unknown",
"9,716","2017 Mar 14 12:00:00 AM","2017 Jun 22 12:00:00 AM","Unauthorized Access",,,"Caliber Home Loans",,"20437","Finance",,"Driver's License or Washington ID Card Number","2017","10,000-49,999","Unknown",
"9,716","2017 Mar 14 12:00:00 AM","2017 Jun 22 12:00:00 AM","Unauthorized Access",,,"Caliber Home Loans",,"20437","Finance",,"Financial & Banking Information","2017","10,000-49,999","Unknown",
"9,716","2017 Mar 14 12:00:00 AM","2017 Jun 22 12:00:00 AM","Unauthorized Access",,,"Caliber Home Loans",,"20437","Finance",,"Full Date of Birth","2017","10,000-49,999","Unknown",
"9,716","2017 Mar 14 12:00:00 AM","2017 Jun 22 12:00:00 AM","Unauthorized Access",,,"Caliber Home Loans",,"20437","Finance",,"Unique Private Key (e.g. used to authenticate or sign an electronic record)","2017","10,000-49,999","Unknown",
"9,716","2017 Mar 14 12:00:00 AM","2017 Jun 22 12:00:00 AM","Unauthorized Access",,,"Caliber Home Loans",,"20437","Finance",,"Military ID Number","2017","10,000-49,999","Unknown",
"9,717","2017 Jun 06 12:00:00 AM","2017 Jun 30 12:00:00 AM","Unauthorized Access","2016-08-10T00:00:00","2017-03-09T00:00:00","Preferred Hotel Group",,"2370","Business","Hospitality","Name","2017","1,000-9,999","300-399",
"9,717","2017 Jun 06 12:00:00 AM","2017 Jun 30 12:00:00 AM","Unauthorized Access","2016-08-10T00:00:00","2017-03-09T00:00:00","Preferred Hotel Group",,"2370","Business","Hospitality","Financial & Banking Information","2017","1,000-9,999","300-399",
"9,718","2017 Jun 06 12:00:00 AM","2017 Jul 05 12:00:00 AM","Cyberattack","2016-08-29T00:00:00","2017-03-09T00:00:00","Loews Hotels & Co. ","Malware","912","Business","Hospitality","Name","2017","500-999","200-299",
"9,718","2017 Jun 06 12:00:00 AM","2017 Jul 05 12:00:00 AM","Cyberattack","2016-08-29T00:00:00","2017-03-09T00:00:00","Loews Hotels & Co. ","Malware","912","Business","Hospitality","Financial & Banking Information","2017","500-999","200-299",
"9,718","2017 Jun 06 12:00:00 AM","2017 Jul 05 12:00:00 AM","Cyberattack","2016-08-29T00:00:00","2017-03-09T00:00:00","Loews Hotels & Co. ","Malware","912","Business","Hospitality","Other","2017","500-999","200-299",
"9,719","2017 Jun 06 12:00:00 AM","2017 Jul 06 12:00:00 AM","Cyberattack","2016-08-10T00:00:00","2017-03-09T00:00:00","Four Seasons Hotels Limited","Unclear/unknown","636","Business","Hospitality","Name","2017","500-999","300-399",
"9,719","2017 Jun 06 12:00:00 AM","2017 Jul 06 12:00:00 AM","Cyberattack","2016-08-10T00:00:00","2017-03-09T00:00:00","Four Seasons Hotels Limited","Unclear/unknown","636","Business","Hospitality","Financial & Banking Information","2017","500-999","300-399",
"9,719","2017 Jun 06 12:00:00 AM","2017 Jul 06 12:00:00 AM","Cyberattack","2016-08-10T00:00:00","2017-03-09T00:00:00","Four Seasons Hotels Limited","Unclear/unknown","636","Business","Hospitality","Other","2017","500-999","300-399",
"9,720","2017 Jun 13 12:00:00 AM","2017 Jul 10 12:00:00 AM","Cyberattack","2017-06-13T00:00:00","2017-06-21T00:00:00","Pacific Science Center","Phishing","605","Business","Entertainment","Name","2017","500-999","1-99",
"9,720","2017 Jun 13 12:00:00 AM","2017 Jul 10 12:00:00 AM","Cyberattack","2017-06-13T00:00:00","2017-06-21T00:00:00","Pacific Science Center","Phishing","605","Business","Entertainment","Social Security Number","2017","500-999","1-99",
"9,707","2017 Feb 06 12:00:00 AM","2017 May 24 12:00:00 AM","Cyberattack","2016-02-26T00:00:00","2016-12-05T00:00:00","Incipio, LLC","Unclear/unknown","1650","Business","Accessories","Financial & Banking Information","2017","1,000-9,999","300-399",
"9,707","2017 Feb 06 12:00:00 AM","2017 May 24 12:00:00 AM","Cyberattack","2016-02-26T00:00:00","2016-12-05T00:00:00","Incipio, LLC","Unclear/unknown","1650","Business","Accessories","Name","2017","1,000-9,999","300-399",
"9,706","2017 May 09 12:00:00 AM","2017 May 19 12:00:00 AM","Theft or Mistake","2017-05-09T00:00:00","2017-05-09T00:00:00","Zillow",,"1086","Business","Real Estate","Other","2017","1,000-9,999","0",
"9,706","2017 May 09 12:00:00 AM","2017 May 19 12:00:00 AM","Theft or Mistake","2017-05-09T00:00:00","2017-05-09T00:00:00","Zillow",,"1086","Business","Real Estate","Social Security Number","2017","1,000-9,999","0",
"9,706","2017 May 09 12:00:00 AM","2017 May 19 12:00:00 AM","Theft or Mistake","2017-05-09T00:00:00","2017-05-09T00:00:00","Zillow",,"1086","Business","Real Estate","Name","2017","1,000-9,999","0",
"9,705",,"2017 May 17 12:00:00 AM","Cyberattack","2017-01-30T00:00:00","2017-04-11T00:00:00","Rite Aid Online Store, Inc.","Malware","657","Business","Retail","Other","2017","500-999","Unknown",
"9,705",,"2017 May 17 12:00:00 AM","Cyberattack","2017-01-30T00:00:00","2017-04-11T00:00:00","Rite Aid Online Store, Inc.","Malware","657","Business","Retail","Financial & Banking Information","2017","500-999","Unknown",
"9,705",,"2017 May 17 12:00:00 AM","Cyberattack","2017-01-30T00:00:00","2017-04-11T00:00:00","Rite Aid Online Store, Inc.","Malware","657","Business","Retail","Name","2017","500-999","Unknown",
"9,704","2017 Apr 03 12:00:00 AM","2017 May 16 12:00:00 AM","Cyberattack",,,"Nicopure Labs, LLC","Malware","541","Business","Consumable","Other","2017","500-999","Unknown",
"9,704","2017 Apr 03 12:00:00 AM","2017 May 16 12:00:00 AM","Cyberattack",,,"Nicopure Labs, LLC","Malware","541","Business","Consumable","Financial & Banking Information","2017","500-999","Unknown",
"9,704","2017 Apr 03 12:00:00 AM","2017 May 16 12:00:00 AM","Cyberattack",,,"Nicopure Labs, LLC","Malware","541","Business","Consumable","Name","2017","500-999","Unknown",
"9,703","2017 Apr 24 12:00:00 AM","2017 May 15 12:00:00 AM","Cyberattack","2016-01-04T00:00:00","2017-03-29T00:00:00","TALX Corporation","Other","1467","Finance",,"Other","2017","1,000-9,999","400-499",
"9,703","2017 Apr 24 12:00:00 AM","2017 May 15 12:00:00 AM","Cyberattack","2016-01-04T00:00:00","2017-03-29T00:00:00","TALX Corporation","Other","1467","Finance",,"Full Date of Birth","2017","1,000-9,999","400-499",
"9,703","2017 Apr 24 12:00:00 AM","2017 May 15 12:00:00 AM","Cyberattack","2016-01-04T00:00:00","2017-03-29T00:00:00","TALX Corporation","Other","1467","Finance",,"Financial & Banking Information","2017","1,000-9,999","400-499",
"9,703","2017 Apr 24 12:00:00 AM","2017 May 15 12:00:00 AM","Cyberattack","2016-01-04T00:00:00","2017-03-29T00:00:00","TALX Corporation","Other","1467","Finance",,"Social Security Number","2017","1,000-9,999","400-499",
"9,703","2017 Apr 24 12:00:00 AM","2017 May 15 12:00:00 AM","Cyberattack","2016-01-04T00:00:00","2017-03-29T00:00:00","TALX Corporation","Other","1467","Finance",,"Name","2017","1,000-9,999","400-499",
"9,702","2017 Feb 23 12:00:00 AM","2017 May 15 12:00:00 AM","Cyberattack","2016-12-20T00:00:00","2017-03-03T00:00:00","Kuru Footwear","Malware","513","Business","Clothing","Other","2017","500-999","1-99",
"9,702","2017 Feb 23 12:00:00 AM","2017 May 15 12:00:00 AM","Cyberattack","2016-12-20T00:00:00","2017-03-03T00:00:00","Kuru Footwear","Malware","513","Business","Clothing","Financial & Banking Information","2017","500-999","1-99",
"9,702","2017 Feb 23 12:00:00 AM","2017 May 15 12:00:00 AM","Cyberattack","2016-12-20T00:00:00","2017-03-03T00:00:00","Kuru Footwear","Malware","513","Business","Clothing","Name","2017","500-999","1-99",
"9,701","2017 Apr 17 12:00:00 AM","2017 May 12 12:00:00 AM","Cyberattack","2016-11-14T00:00:00","2017-04-17T00:00:00","Indigo Wild","Malware","501","Business","Retail","Other","2017","500-999","100-199",
"9,701","2017 Apr 17 12:00:00 AM","2017 May 12 12:00:00 AM","Cyberattack","2016-11-14T00:00:00","2017-04-17T00:00:00","Indigo Wild","Malware","501","Business","Retail","Financial & Banking Information","2017","500-999","100-199",
"9,701","2017 Apr 17 12:00:00 AM","2017 May 12 12:00:00 AM","Cyberattack","2016-11-14T00:00:00","2017-04-17T00:00:00","Indigo Wild","Malware","501","Business","Retail","Name","2017","500-999","100-199",
"9,700","2017 Apr 24 12:00:00 AM","2017 May 12 12:00:00 AM","Cyberattack","2016-04-04T00:00:00","2017-03-01T00:00:00","Brooks Brothers","Skimmers",,"Business","Clothing","Financial & Banking Information","2017","Unknown","300-399",
"9,700","2017 Apr 24 12:00:00 AM","2017 May 12 12:00:00 AM","Cyberattack","2016-04-04T00:00:00","2017-03-01T00:00:00","Brooks Brothers","Skimmers",,"Business","Clothing","Name","2017","Unknown","300-399",
"9,694","2017 Jan 26 12:00:00 AM","2017 Apr 18 12:00:00 AM","Cyberattack","2017-01-23T00:00:00","2017-02-22T00:00:00","Pacific Lutheran University","Phishing","813","Education",,"Other","2017","500-999","1-99",
"9,694","2017 Jan 26 12:00:00 AM","2017 Apr 18 12:00:00 AM","Cyberattack","2017-01-23T00:00:00","2017-02-22T00:00:00","Pacific Lutheran University","Phishing","813","Education",,"Full Date of Birth","2017","500-999","1-99",
"9,694","2017 Jan 26 12:00:00 AM","2017 Apr 18 12:00:00 AM","Cyberattack","2017-01-23T00:00:00","2017-02-22T00:00:00","Pacific Lutheran University","Phishing","813","Education",,"Financial & Banking Information","2017","500-999","1-99",
"9,694","2017 Jan 26 12:00:00 AM","2017 Apr 18 12:00:00 AM","Cyberattack","2017-01-23T00:00:00","2017-02-22T00:00:00","Pacific Lutheran University","Phishing","813","Education",,"Driver's License or Washington ID Card Number","2017","500-999","1-99",
"9,694","2017 Jan 26 12:00:00 AM","2017 Apr 18 12:00:00 AM","Cyberattack","2017-01-23T00:00:00","2017-02-22T00:00:00","Pacific Lutheran University","Phishing","813","Education",,"Social Security Number","2017","500-999","1-99",
"9,694","2017 Jan 26 12:00:00 AM","2017 Apr 18 12:00:00 AM","Cyberattack","2017-01-23T00:00:00","2017-02-22T00:00:00","Pacific Lutheran University","Phishing","813","Education",,"Name","2017","500-999","1-99",
"9,693",,"2017 Apr 14 12:00:00 AM","Cyberattack","2016-09-29T00:00:00","2016-12-29T00:00:00","Six Continents Hotels","Malware","13825","Business","Hospitality","Financial & Banking Information","2017","10,000-49,999","Unknown",
"9,693",,"2017 Apr 14 12:00:00 AM","Cyberattack","2016-09-29T00:00:00","2016-12-29T00:00:00","Six Continents Hotels","Malware","13825","Business","Hospitality","Name","2017","10,000-49,999","Unknown",
"9,692","2017 Mar 24 12:00:00 AM","2017 Apr 12 12:00:00 AM","Cyberattack","2016-10-01T00:00:00","2017-01-01T00:00:00","ILKB, LLC","Other","1140","Business","Fitness","Other","2017","1,000-9,999","100-199",
"9,692","2017 Mar 24 12:00:00 AM","2017 Apr 12 12:00:00 AM","Cyberattack","2016-10-01T00:00:00","2017-01-01T00:00:00","ILKB, LLC","Other","1140","Business","Fitness","Financial & Banking Information","2017","1,000-9,999","100-199",
"9,692","2017 Mar 24 12:00:00 AM","2017 Apr 12 12:00:00 AM","Cyberattack","2016-10-01T00:00:00","2017-01-01T00:00:00","ILKB, LLC","Other","1140","Business","Fitness","Name","2017","1,000-9,999","100-199",
"9,691","2017 Feb 11 12:00:00 AM","2017 Apr 09 12:00:00 AM","Cyberattack","2017-01-30T00:00:00","2017-01-30T00:00:00","Lake Kennedy McCulluch CPAs PS","Other","1688","Finance",,"Other","2017","1,000-9,999","1-99",
"9,691","2017 Feb 11 12:00:00 AM","2017 Apr 09 12:00:00 AM","Cyberattack","2017-01-30T00:00:00","2017-01-30T00:00:00","Lake Kennedy McCulluch CPAs PS","Other","1688","Finance",,"Full Date of Birth","2017","1,000-9,999","1-99",
"9,691","2017 Feb 11 12:00:00 AM","2017 Apr 09 12:00:00 AM","Cyberattack","2017-01-30T00:00:00","2017-01-30T00:00:00","Lake Kennedy McCulluch CPAs PS","Other","1688","Finance",,"Financial & Banking Information","2017","1,000-9,999","1-99",
"9,691","2017 Feb 11 12:00:00 AM","2017 Apr 09 12:00:00 AM","Cyberattack","2017-01-30T00:00:00","2017-01-30T00:00:00","Lake Kennedy McCulluch CPAs PS","Other","1688","Finance",,"Social Security Number","2017","1,000-9,999","1-99",
"9,691","2017 Feb 11 12:00:00 AM","2017 Apr 09 12:00:00 AM","Cyberattack","2017-01-30T00:00:00","2017-01-30T00:00:00","Lake Kennedy McCulluch CPAs PS","Other","1688","Finance",,"Name","2017","1,000-9,999","1-99",
"9,690","2017 Feb 06 12:00:00 AM","2017 Apr 04 12:00:00 AM","Cyberattack","2016-02-26T00:00:00","2016-12-05T00:00:00","Tempur-Pedic","Malware","7366","Business","Manufacturing","Other","2017","1,000-9,999","300-399",
"9,690","2017 Feb 06 12:00:00 AM","2017 Apr 04 12:00:00 AM","Cyberattack","2016-02-26T00:00:00","2016-12-05T00:00:00","Tempur-Pedic","Malware","7366","Business","Manufacturing","Financial & Banking Information","2017","1,000-9,999","300-399",
